Item,Name,Type,SKU,Price,Weight,Category,Is Visible,Description,Image URL (Import),Image is Thumbnail,Image Sort Order
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b95b84e9d.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b95c72aa8.jpg,False,2
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20230108/63bacea195571.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b7c7dc469.jpg,False,4
Product,T60A舷外机,physical,T60A舷外机,0.00,15,Outboard Motors; 2-Stroke,True,"<h2>T60A舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0"" width=""465""><colgroup><col style="";width:131px"" width=""130""/><col style="";width:335px"" width=""334""/></colgroup><tbody><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">型号</td><td style=""border-left: none;"" width=""335"">T60A</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">产品规格选项</td><td>T60ABML-D/T60AFWL-T/T60ABWL-D</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">艉板高度</td><td style=""border-left: none;"" width=""335"">20/22in.</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">重量</td><td>102-107Kg</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大转速</td><td style=""border-left: none;"" width=""335"">4500～5500r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大推杆功率</td><td style=""border-top: none; border-left: none;"" width=""335"">44.1kW（60HP）@5000r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">怠速</td><td style=""border-top: none; border-left: none;"" width=""335"">950～1050   r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">发动机类型</td><td style=""border-top: none; border-left: none;"" width=""335"">L3  Reed Valve</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">排量</td><td>849cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">缸径*冲程</td><td style=""border-left: none;"" width=""335"">72.0×69.5 mm</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">燃油进气系统</td><td style=""border-top: none; border-left: none;"" width=""335"">化油器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">点火系统</td><td style=""border-top: none; border-left: none;"" width=""335"">CDI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131""><span style="""">控制系统</span></td><td style=""border-top: none; border-left: none;"" width=""335"">舵柄/遥控器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">启动系统</td><td style=""border-top: none; border-left: none;"" width=""335"">手动启动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">档位</td><td style=""border-top: none; border-left: none;"" width=""335"">F-N-R</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮比</td><td style=""border-top: none; border-left: none;"" width=""335"">2.33</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大油耗</td><td style=""border-top: none; border-left: none;"" width=""335"">25.5L/h</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""""><span style="""">倾斜起翘系统</span></td><td style=""border-top: none;"" width=""335"">手动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">混合比（燃油：机油）</td><td style=""border-top: none; border-left: none;"" width=""335"">50：1</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮油容量</td><td style=""border-top: none; border-left: none;"" width=""335"">610cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">螺旋桨规格</td><td style=""border-top: none; border-left: none;"" width=""335"">3-13""   / 15"" / 17""</td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b991f1e44.jpg,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b9940a525.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b99619ff9.jpg,False,2
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b9524576f.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b072be3e4.jpg,False,4
